#{"t_start": 1784477804.0824566, "env_id": "None"}
r,l,t
-9.6,60,1.419428
-12.3,60,1.59218
-6.9,60,1.761209
-12.3,60,1.934739
-8.7,60,3.32363
-8.7,60,3.516163
-7.8,60,3.704197
-14.1,60,3.881227
5.5,37,4.309301
-6.0,60,4.481332
-6.9,60,4.670864
8.6,15,4.724374
-6.9,60,4.917907
-6.0,60,5.416494
-6.0,60,5.594525
-9.6,60,5.772555
-7.8,60,5.953087
-6.9,60,6.14362
-6.0,60,6.634705
-7.8,60,6.818237
-6.9,60,6.994268
-6.0,60,7.172799
-6.0,60,7.673385
-6.0,60,7.854417
-6.9,60,8.04545
-6.0,60,8.21948
-6.9,60,8.753074
-6.0,60,8.941605
-6.0,60,9.129138
-6.9,60,9.315171
-6.0,60,9.493201
5.3,39,9.919776
-6.0,60,10.111809
-6.0,60,10.303342
-6.0,60,10.526881
-6.0,60,11.018466
-6.9,60,11.204998
-6.0,60,11.390532
-6.9,60,11.586564
-6.0,60,12.099654
-6.0,60,12.287687
-9.6,60,12.473718
-9.6,60,12.65675
6.0,41,12.777272
-8.7,60,13.258354
-6.0,60,13.446888
-6.9,60,13.623418
9.3,8,13.647422
-11.4,60,13.821953
-6.9,60,14.287033
-8.7,60,14.461564
-6.9,60,14.628593
-6.0,60,14.800622
-6.9,60,15.278205
10.0,1,15.282706
-6.0,60,15.456236
-6.0,60,15.628266
-6.0,60,15.795295
-6.0,60,15.967825
-6.0,60,16.439907
-6.0,60,16.620439
9.7,4,16.633941
-7.8,60,16.806971
-9.6,60,16.975
-6.0,60,17.444581
-7.8,60,17.618611
-10.5,60,17.78564
-6.0,60,17.976673
-6.0,60,18.463758
-11.4,60,18.639289
-6.9,60,18.810818
2.5,49,18.974847
-9.6,60,19.143876
-6.0,60,19.617458
-6.0,60,19.786488
-6.0,60,19.967019
-6.0,60,20.141549
-6.0,60,20.617632
-6.0,60,20.786661
-8.7,60,20.969193
-6.9,60,21.142723
-6.0,60,21.629307
2.7,56,21.794336
9.0,11,21.827341
-6.0,60,21.992871
-6.0,60,22.159899
-6.0,60,22.632482
-6.0,60,22.806012
-7.8,60,22.975541
-6.0,60,23.14257
-7.8,60,23.610152
-6.0,60,23.806685
-6.0,60,23.999719
-6.0,60,24.191752
4.2,50,24.345779
-6.0,60,24.865369
-6.0,60,25.054902
-8.7,60,25.263438
-6.0,60,25.439469
-7.8,60,25.926053
-7.8,60,26.127089
-7.8,60,26.310119
-7.8,60,26.502654
8.6,15,26.555663
-7.8,60,27.063751
4.5,47,27.23278
-6.0,60,27.445817
-6.0,60,27.626848
-6.0,60,27.820882
6.6,35,28.256458
-8.7,60,28.44399
-6.0,60,28.645525
-7.8,60,28.836558
-6.0,60,29.324144
-6.0,60,29.516176
-6.9,60,29.70721
5.3,39,29.82823
-6.0,60,30.005261
-6.0,60,30.495346
-6.0,60,30.673877
4.0,52,30.832904
-6.0,60,31.017937
-6.0,60,31.488519
-6.9,60,31.673552
-6.9,60,31.860583
9.9,2,31.869086
-6.0,60,32.056118
-6.0,60,32.243149
-6.0,60,32.737236
-10.5,60,32.926769
-10.5,60,33.1143
-6.0,60,33.296333
-6.9,60,33.789419
-15.0,60,33.961948
-8.7,60,34.132977
-8.7,60,34.31801
-6.0,60,34.786091
-6.0,60,34.961622
-6.0,60,35.13165
-7.8,60,35.302681
-7.8,60,35.768261
-9.6,60,35.971797
